procom_res,procom_lav,pendolari
097058,015024,1
097058,015050,1
097058,015051,6
097058,015060,1
097058,015070,4
097058,015077,7
097058,015081,5
097058,015086,1
097058,015093,1
097058,015105,1
097058,015106,2
097058,015114,1
097058,015116,5
097058,015118,2
097058,015142,1
097058,015146,185
097058,015154,1
097058,015157,2
097058,015166,2
097058,015170,2
097058,015171,3
097058,015172,4
097058,015175,1
097058,015177,1
097058,015178,1
097058,015179,2
097058,015182,1
097058,015189,2
097058,015192,2
097058,015195,2
097058,015205,3
097058,015209,12
097058,015210,1
097058,015219,1
097058,015220,1
097058,015221,3
097058,015224,5
097058,016006,1
097058,016008,2
097058,016009,2
097058,016016,2
097058,016024,11
097058,016029,1
097058,016030,2
097058,016034,5
097058,016043,3
097058,016046,16
097058,016051,1
097058,016052,1
097058,016057,6
097058,016062,2
097058,016072,2
097058,016074,18
097058,016089,5
097058,016091,2
097058,016115,1
097058,016117,2
097058,016132,2
097058,016145,1
097058,016150,2
097058,016171,3
097058,016183,1
097058,016194,1
097058,016203,4
097058,016209,2
097058,016212,1
097058,016218,1
097058,016238,3
097058,016240,1
097058,016250,2
097058,016251,1
097058,016252,1
097058,017029,2
097058,017042,1
097058,017055,1
097058,017070,1
097058,017133,1
097058,017137,1
097058,017186,1
097058,018076,1
097058,018177,2
097058,024008,5
097058,029041,1
097058,097002,12
097058,097003,1
097058,097005,21
097058,097006,13
097058,097009,9
097058,097010,75
097058,097011,10
097058,097012,101
097058,097013,27
097058,097016,7
097058,097017,11
097058,097019,10
097058,097020,59
097058,097022,1
097058,097024,4
097058,097026,11
097058,097028,3
097058,097031,7
097058,097033,4
097058,097036,10
097058,097037,10
097058,097038,11
097058,097039,1
097058,097042,138
097058,097044,31
097058,097045,5
097058,097046,1
097058,097048,217
097058,097049,25
097058,097051,7
097058,097052,6
097058,097053,7
097058,097054,6
097058,097056,5
097058,097057,18
097058,097058,326
097058,097059,31
097058,097061,62
097058,097062,5
097058,097068,1
097058,097071,30
097058,097074,41
097058,097075,10
097058,097076,13
097058,097082,5
097058,097083,14
097058,097090,4
097058,097091,22
097058,097092,75
097058,098031,1
097058,098040,1
097058,103072,1
097058,108001,20
097058,108002,1
097058,108004,17
097058,108006,2
097058,108007,8
097058,108008,6
097058,108009,5
097058,108011,1
097058,108012,19
097058,108013,3
097058,108014,1
097058,108015,5
097058,108016,7
097058,108017,5
097058,108019,2
097058,108021,11
097058,108023,3
097058,108024,5
097058,108026,1
097058,108028,13
097058,108029,3
097058,108030,1
097058,108031,6
097058,108033,35
097058,108034,1
097058,108035,1
097058,108036,5
097058,108037,2
097058,108038,12
097058,108039,10
097058,108040,1
097058,108041,2
097058,108042,7
097058,108044,11
097058,108045,1
097058,108046,2
097058,108047,2
097058,108048,1
097058,108049,4
097058,108050,37
097058,108051,3
097058,108052,1
097058,108053,15
097058,108054,1
097059,097010,69
097059,097012,21
097059,097058,17
097059,097074,5
097059,097092,11
097061,097010,13
097061,097012,12
097061,097058,18
097061,097074,5
097061,097092,7
097062,097010,10
097062,097012,18
097062,097058,11
097062,097074,6
097065,097058,4
097068,097010,14
097068,097012,5
097068,097058,3
097068,097074,2
097071,097010,23
097071,097012,35
097071,097058,29
097071,097074,8
097071,097092,7
097072,097012,1
097072,097058,4
097072,097074,4
097072,097092,2
097074,010025,2
097074,012002,1
097074,012040,1
097074,012064,1
097074,012075,1
097074,012119,2
097074,012127,2
097074,013003,1
097074,013007,1
097074,013009,2
097074,013075,2
097074,013095,2
097074,013126,1
097074,013129,1
097074,013136,3
097074,013143,1
097074,013147,1
097074,013170,2
097074,015011,1
097074,015032,1
097074,015044,3
097074,015060,1
097074,015070,1
097074,015081,1
097074,015146,28
097074,015166,2
097074,015182,1
097074,015185,1
097074,015192,2
097074,015195,1
097074,015205,1
097074,015206,1
097074,015209,2
097074,015211,1
097074,015221,2
097074,016005,1
097074,016011,1
097074,016024,2
097074,016029,1
097074,016031,1
097074,016034,1
097074,016037,1
097074,016046,1
097074,016057,2
097074,016074,2
097074,016089,4
097074,016117,1
097074,016132,2
097074,016137,1
097074,016171,1
097074,016198,1
097074,016207,1
097074,016213,2
097074,016224,1
097074,016238,2
097074,017029,2
097074,018073,1
097074,097002,6
097074,097005,20
097074,097006,20
097074,097009,6
097074,097010,7
097074,097011,8
097074,097012,21
097074,097013,4
097074,097016,9
097074,097017,3
097074,097019,11
097074,097020,17
097074,097022,1
097074,097024,6
097074,097026,4
097074,097028,9
097074,097031,12
097074,097036,4
097074,097037,12
097074,097038,1
097074,097039,1
097074,097042,50
097074,097044,8
097074,097048,66
097074,097049,13
097074,097051,9
097074,097053,4
097074,097054,2
097074,097056,7
097074,097057,9
097074,097058,49
097074,097059,8
097074,097061,7
097074,097062,2
097074,097071,8
097074,097072,1
097074,097074,112
097074,097075,6
097074,097076,13
097074,097078,4
097074,097083,9
097074,097090,5
097074,097091,8
097074,097092,83
097074,108004,4
097074,108007,1
097074,108008,6
097074,108011,1
097074,108012,4
097074,108015,1
097074,108016,4
097074,108023,3
097074,108024,1
097074,108028,3
097074,108030,1
097074,108033,6
097074,108038,1
097074,108039,2
097074,108041,1
097074,108043,2
097074,108044,8
097074,108047,1
097074,108049,2
097074,108050,6
097074,108053,2
097074,108055,2
097075,097012,5
097075,097058,1
097075,097074,14
097075,097092,9
097076,097012,6
097076,097058,14
097076,097074,9
097076,097092,27
097078,097010,1
097078,097012,2
097078,097074,1
097078,097092,1
097082,097010,39
097082,097012,15
097082,097058,8
097082,097092,8
097083,097010,18
097083,097012,6
097083,097058,5
097083,097092,11
097086,097010,14
097086,097012,3
097086,097058,4
097090,097010,1
097090,097012,7
097090,097058,6
097090,097074,9
097090,097092,8
097091,097010,13
097091,097012,27
097091,097058,8
097091,097074,6
097091,097092,2
097092,006174,1
097092,012026,1
097092,012040,1
097092,012068,1
097092,012109,1
097092,012118,1
097092,012119,1
097092,013003,2
097092,013006,1
097092,013007,1
097092,013009,3
097092,013012,1
097092,013035,2
097092,013041,2
097092,013055,1
097092,013075,7
097092,013095,10
097092,013097,1
097092,013102,1
097092,013107,2
097092,013110,2
097092,013118,3
097092,013121,1
097092,013136,4
097092,013143,4
097092,013147,1
097092,013170,3
097092,013188,1
097092,013227,2
097092,014027,1
097092,015010,1
097092,015011,1
097092,015027,1
097092,015040,1
097092,015044,2
097092,015051,3
097092,015070,1
097092,015076,1
097092,015077,4
097092,015081,4
097092,015106,1
097092,015114,1
097092,015116,1
097092,015136,1
097092,015146,108
097092,015157,1
097092,015166,2
097092,015167,1
097092,015170,1
097092,015182,2
097092,015205,4
097092,015209,6
097092,015211,1
097092,015220,1
097092,015221,2
097092,015222,1
097092,015242,1
097092,016005,1
097092,016006,1
097092,016016,1
097092,016024,5
097092,016030,1
097092,016034,1
097092,016037,2
097092,016046,2
097092,016057,2
097092,016074,12
097092,016089,1
097092,016091,1
097092,016096,1
097092,016117,2
097092,016132,2
097092,016171,2
097092,016172,1
097092,016198,1
097092,016207,2
097092,016209,1
097092,016213,1
097092,016219,1
097092,016238,2
097092,016250,4
097092,017029,2
097092,017096,1
097092,018051,1
097092,024008,1
097092,033032,1
097092,097002,5
097092,097003,9
097092,097005,41
097092,097006,31
097092,097009,20
097092,097010,25
097092,097011,13
097092,097012,56
097092,097013,17
097092,097016,22
097092,097017,4
097092,097019,21
097092,097020,35
097092,097021,7
097092,097022,6
097092,097024,7
097092,097026,18
097092,097028,6
097092,097031,29
097092,097036,7
097092,097037,13
097092,097038,1
097092,097039,2
097092,097042,86
097092,097044,23
097092,097045,1
097092,097046,5
097092,097048,87
097092,097049,54
097092,097051,10
097092,097053,11
097092,097054,16
097092,097056,8
097092,097057,38
097092,097058,59
097092,097059,10
097092,097061,26
097092,097062,8
097092,097068,3
097092,097071,17
097092,097072,5
097092,097074,68
097092,097075,16
097092,097076,43
097092,097078,7
097092,097083,10
097092,097090,22
097092,097091,11
097092,097092,275
097092,098031,1
097092,108001,10
097092,108002,1
097092,108003,3
097092,108004,7
097092,108005,1
097092,108007,2
097092,108008,12
097092,108009,2
097092,108010,1
097092,108011,5
097092,108012,9
097092,108015,7
097092,108016,2
097092,108019,1
097092,108021,3
097092,108022,2
097092,108023,9
097092,108024,4
097092,108026,4
097092,108028,4
097092,108029,1
097092,108030,3
097092,108031,2
097092,108032,2
097092,108033,22
097092,108034,1
097092,108036,1
097092,108037,7
097092,108038,5
097092,108039,8
097092,108041,1
097092,108043,1
097092,108044,7
097092,108047,15
097092,108048,3
097092,108049,5
097092,108050,22
097092,108051,2
097092,108052,1
097092,108053,7
097092,108054,3
098005,097058,1
098031,097058,3
098039,097092,1
098045,097058,2
098050,097058,5
108001,097010,5
108001,097058,3
108002,097010,1
108002,097058,2
108003,097074,2
108004,097010,2
108004,097012,5
108004,097058,5
108004,097074,2
108005,097058,1
108006,097010,1
108006,097012,1
108006,097058,1
108006,097074,2
108006,097092,2
108007,097010,10
108007,097012,8
108007,097058,5
108007,097074,6
108007,097092,2
108008,097012,6
108008,097058,10
108008,097074,2
108008,097092,7
108009,097010,1
108009,097012,1
108009,097092,1
108010,097010,1
108010,097012,1
108011,097010,2
108011,097012,3
108011,097058,6
108011,097074,1
108011,097092,2
108012,097010,1
108012,097012,4
108012,097058,2
108012,097092,1
108013,097012,1
108014,097012,2
108014,097058,2
108014,097092,1
108015,097010,1
108015,097012,1
108015,097058,3
108015,097092,1
108016,097012,7
108016,097058,2
108016,097074,1
108017,097012,3
108017,097058,1
108019,097012,1
108019,097058,1
108019,097074,1
108021,097012,1
108021,097092,2
108022,097010,1
108022,097012,3
108022,097058,4
108022,097074,1
108022,097092,2
108023,097010,4
108023,097012,10
108023,097058,2
108023,097074,1
108023,097092,1
108024,097010,1
108024,097058,4
108024,097074,4
108024,097092,1
108025,097058,1
108026,097012,2
108026,097058,1
108026,097074,1
108026,097092,1
108027,097012,2
108028,097010,5
108028,097012,1
108028,097058,5
108028,097074,1
108029,097012,1
108030,097092,1
108031,097010,3
108033,097010,3
108033,097012,5
108033,097058,7
108033,097074,5
108033,097092,2
108034,097058,1
108034,097092,1
108035,097010,1
108035,097012,1
108036,097058,2
108036,097074,3
108036,097092,1
108037,097010,1
108037,097012,2
108037,097074,1
108037,097092,1
108038,097010,5
108038,097012,7
108038,097058,3
108038,097092,1
108039,097010,4
108039,097012,1
108039,097074,1
108039,097092,2
108040,097058,1
108041,097058,4
108042,097010,2
108042,097012,1
108042,097058,1
108043,097010,2
108043,097012,1
108043,097074,1
108043,097092,2
108044,097010,3
108044,097012,11
108044,097058,5
108044,097074,2
108044,097092,4
108045,097058,1
108046,097092,1
108047,097010,1
108047,097012,3
108047,097058,4
108047,097074,1
108047,097092,5
108048,097092,1
108049,097010,2
108049,097012,4
108049,097058,1
108049,097074,1
108050,097010,3
108050,097012,3
108050,097058,5
108050,097074,2
108050,097092,2
108051,097012,4
108052,097012,3
108053,097010,5
108053,097012,8
108053,097058,4
108053,097074,3
108053,097092,2
108054,097058,2
108055,097012,1
108055,097074,1
