stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
300807,300807,Colle Brianza - piecastello,"",45.759617,9.361850,300808,0,
300808,300808,Colle Brianza - nava (monumento),"",45.763200,9.362617,300808,0,
300829,300829,Monticello - angolo via volta,"",45.708730,9.315220,300353,0,
300830,300830,Calolziocorte - gerola bivio,"",45.779367,9.441450,300067,0,
300842,300842,Missaglia - centro,"",45.708470,9.334700,300328,0,
300844,300844,Colico - via Borgonuovo (capp. S.Luigi),"",46.125710,9.365390,300844,0,
300845,300845,Costamasnaga - via giovanni XXIII (clomn,"",45.768100,9.268750,300796,0,
300849,300849,Calolziocorte - centro sportivo lavello,"",45.793667,9.431267,300067,0,
300854,300854,Calolziocorte -via pomarolo,"",45.781950,9.446983,300067,0,
300855,300855,Calolziocorte - via padri serviti,"",45.792333,9.435233,300069,0,
300856,300856,Calolziocorte - via de gasperi f.a.a.c.,"",45.802150,9.420483,300067,0,
300857,300857,Calolziocorte - via donizzetti,"",45.803483,9.419300,300067,0,
300858,300858,Calolziocorte - sala (bivio via ladini),"",45.785217,9.445800,300067,0,
300860,300860,Vercurago - cimitero,"",45.809010,9.423780,300860,0,
300861,300861,Calolziocorte - via mazzini,"",45.802917,9.421200,300067,0,
300862,300862,Calolziocorte - via cavour,"",45.803283,9.417717,300067,0,
300863,300863,Monte Marenzo - smalti riva,"",45.772150,9.443183,300485,0,
300865,300865,Montevecchia - chiesa,"",45.705370,9.381310,300865,0,
300866,300866,Montevecchia - semaforo quattro strade,"",45.696510,9.377110,300866,0,
300867,300867,Montevecchia - Via Bergamo/Via Pertevano,"",45.695660,9.384960,300865,0,
300868,300868,Cernusco L. - paravino,"",45.696700,9.393850,300868,0,
300869,300869,Cernusco L - via roma,"",45.692510,9.399720,300753,0,
300871,300871,S.Maria Hoe' - alduno,"",45.735000,9.382200,300207,0,
300872,300872,Perego - s.s. 342/via s.caterina,"",45.738567,9.362733,300879,0,
300873,300873,Hoe',"",45.748667,9.367717,300207,0,
300874,300874,Merate - via marconi,"",45.708700,9.431200,300291,0,
300876,300876,Casatenovo - piazza repubbilca,"",45.698720,9.312290,300354,0,
300877,300877,Lomagna - via roma,"",45.671170,9.366970,300094,0,
300878,300878,Rovagnate - semaforo,"",45.737167,9.369383,300879,0,
300879,300879,Rovagnate - vinicola ghezzi,"",45.739700,9.364717,300879,0,
300880,300880,Costamasnaga - (di vittorio a.s.l.),"",45.767517,9.271133,300796,0,
300881,300881,Calolziocorte - scuole elementari,"",45.787767,9.443700,300067,0,
300886,300886,Imbersago - arlate (fiorista),"",45.718483,9.444600,300718,0,
300887,300887,Merate - sartirana alta,"",45.709570,9.414730,300746,0,
300888,300888,Merate - novate ospedale,"",45.695750,9.428490,300870,0,
300890,300890,Ronco Briantino - via s.antonio,"",45.666150,9.403600,300536,0,
300891,300891,Olginate - gambate,"",45.800100,9.409850,300065,0,
300892,300892,"Lecco - via matteotti, 13/15","",45.858617,9.395683,300051,0,
300894,300894,Mandello - luzzeno ville,"",45.922617,9.327400,300165,0,
300895,300895,Lecco - acel,"",45.850410,9.402160,300051,0,
300896,300896,Premana - pizzeria,"",46.055200,9.414700,300017,0,
300897,300897,Airuno - oratorio,"",45.751030,9.426460,300083,0,
300898,300898,Merate - via spluga,"",45.697883,9.406000,300291,0,
300899,300899,Missaglia - corso europa (rengione),"",45.708817,9.325283,300328,0,
300900,300900,Missaglia - corso europa (bariano),"",45.705000,9.344000,300328,0,
300901,300901,Besana brianza - ist.gandhi,"",45.690150,9.263450,300901,0,
300902,300902,S.Maria Hoe' - alpino,"",45.743617,9.374617,300207,0,
300903,300903,S.Maria Hoe' - tremonte/via leopardi,"",45.741180,9.380960,300207,0,
300906,300906,Castello brianza - casa pozzi,"",45.765833,9.346517,300429,0,
300907,300907,Castello brianza - caraverio (alimentari,"",45.758590,9.345540,300429,0,
300908,300908,Calolziocorte - gerola capolinea arrivo,"",45.772780,9.443630,300067,0,
300909,300909,Maresso - cimitero,"",45.682940,9.354510,300909,0,
300910,300910,Bellano - noghero,"",46.039210,9.318420,300044,0,
300911,300911,Bellano - scingaglio,"",46.037167,9.322717,300002,0,
300912,300912,Sueglio - ponte,"",46.085440,9.334550,300032,0,
300913,300913,Vestreno - masatele,"",46.078850,9.317450,300030,0,
300914,300914,Vestreno - grasagne,"",46.081750,9.317050,300030,0,
300916,300916,Castello brianza - caraverio (pensilina),"",45.760290,9.343760,300429,0,
300917,300917,Besana brianza - v.le kennedy (bar 5 ce,"",45.700090,9.291500,300342,0,
300919,300919,Lecco - corso matteotti (agip),"",45.862920,9.400660,300051,0,
300922,300922,Sueglio - bivio provinciale,"",46.082890,9.333090,300032,0,
300924,300924,Calolziocorte - scuole superiori,"",45.794090,9.431150,300067,0,
300925,300925,Margno - parcheggio mercato,"",46.030490,9.380440,300018,0,
300935,300935,Cernusco L. - stazione f.s.,"",45.694750,9.396610,300753,0,
300937,300937,Premana (giabbio),"",46.047680,9.425300,300017,0,
300943,300943,Maresso - cascina novaglia,"",45.698210,9.351400,300328,0,
300944,300944,Introbio - farmacia,"",45.976461,9.450388,300944,0,
300945,300945,"Ello, Via Milano 1(Campo Sportivo)","",45.786150,9.363050,300945,0,
300946,300946,Verderio inferiore - libertà,"",45.663750,9.429010,300767,0,
300948,300948,Margno - via piave per crandola,"",46.027640,9.380370,300018,0,
300949,300949,Cortenova - via modigliani,"",46.003240,9.380360,300145,0,
300950,300950,Cortenova -via leonardo da vinci,"",45.997830,9.387240,300145,0,
300951,300951,Cremeno - via fermi,"",45.931890,9.473980,300666,0,
300952,300952,Lecco (via  balicco),"",45.855760,9.396540,300051,0,
300953,300953,Lecco - harley d. (laorca ),"",45.873820,9.402680,300051,0,
300954,300954,Villasanta - via edison,"",45.600020,9.301450,300451,0,
300955,300955,Lomaniga,"",45.701980,9.357770,300328,0,
300956,300956,"Calco - via nazionale, 85","",45.736600,9.419670,300089,0,
300957,300957,Bellano - bivio per pennaso,"",46.024180,9.325810,300004,0,
300961,300961,"Robbiate, via aldo moro","",45.688500,9.434470,300760,0,
300962,300962,"Bernareggio, via risorgimento","",45.648970,9.391430,300770,0,
300963,300963,"Bernareggio, via alcide de gasperi","",45.645190,9.401990,300770,0,
300969,300969,Ravellino - via san rocco,"",45.770180,9.367440,300194,0,
300978,300978,ELLO CIMITERO,"",45.791930,9.365780,300978,0,
300980,300980,Mornico,"",46.036960,9.345370,300980,0,
300981,300981,Sanico (bivio alpeggi),"",46.038210,9.330160,300981,0,
300982,300982,Bivio per Noceno,"",46.037650,9.328820,300982,0,
300983,300983,Mosnico,"",46.033140,9.336160,300983,0,
300984,300984,Inesio,"",46.032030,9.340560,300984,0,
301005,301005,FUENTES COLICO,"",46.141890,9.416100,301005,0,
L00001,L00001,Varenna - bivio per esino,"",46.014800,9.284960,300173,0,
L00002,L00002,Bellano - stazione f.s.,"",46.039670,9.302820,300002,0,
L00003,L00003,Bellano - bonzeno,"",46.040700,9.306633,300003,0,
L00006,L00006,Taceno - via roma (municipio),"",46.023110,9.363800,300006,0,
L00007,L00007,Crandola valsassina - vegno,"",46.026610,9.375900,300009,0,
L00010,L00010,Casargo - codesino,"",46.036067,9.385000,300010,0,
L00011,L00011,Casatenovo - p.zza rogoredo,"",45.679880,9.334040,300354,0,
L00012,L00012,Casargo - somadino,"",46.044467,9.391317,300464,0,
L00013,L00013,Casargo - piazzo,"",46.050433,9.397167,300013,0,
L00014,L00014,Premana - ponte di premana,"",46.050783,9.417650,300017,0,
L00015,L00015,Premana - bivio pagnona,"",46.055883,9.408067,300017,0,
L00016,L00016,Pagnona - piazza,"",46.059340,9.404200,300016,0,
L00017,L00017,Premana - piazza chiesa,"",46.053010,9.420920,300017,0,
L00018,L00018,Margno - piazza,"",46.030310,9.380270,300018,0,
L00020,L00020,Lecco - ponte vecchio,"",45.845720,9.394460,300020,0,
L00021,L00021,Pescate - cariboni,"",45.839483,9.395333,300077,0,
L00022,L00022,Lecco - v.le dante (realini),"",45.852500,9.395317,300051,0,
L00024,L00024,Dervio - municipio,"",46.076483,9.306500,300024,0,
L00025,L00025,Dervio - corenno plinio,"",46.089610,9.311390,300025,0,
L00026,L00026,Dorio - municipio,"",46.100933,9.317783,300026,0,
L00027,L00027,Dorio - rist. crottino,"",46.114083,9.317350,300026,0,
L00028,L00028,Dervio - castello,"",46.077467,9.311933,300028,0,
L00029,L00029,Vestreno - belvedere,"",46.080133,9.316617,300030,0,
L00030,L00030,Vestreno - via roma,"",46.083210,9.323300,300030,0,
L00031,L00031,Sueglio - bivio sueglio,"",46.082850,9.332883,300032,0,
L00032,L00032,Sueglio - municipio,"",46.085233,9.331733,300032,0,
L00033,L00033,Introzzo - via roma,"",46.080580,9.341160,300033,0,
L00034,L00034,Tremenico,"",46.075030,9.365980,300034,0,
L00038,L00038,Garlate - cimitero,"",45.811067,9.398783,300038,0,
L00040,L00040,Garlate - greppi,"",45.817967,9.396533,300040,0,
L00042,L00042,Bellano - casa fanfani,"",46.044900,9.308000,300002,0,
L00043,L00043,Bellano - lezzeno santuario,"",46.046550,9.310200,300043,0,
L00044,L00044,Bellano - pradello,"",46.043733,9.315917,300044,0,
L00045,L00045,Vendrogno,"",46.033790,9.331340,300045,0,
L00048,L00048,Olginate - pesci vivi,"",45.793633,9.416283,300048,0,
L00049,L00049,Calolziocorte - ponte della serta,"",45.795290,9.441460,300067,0,
L00051,L00051,LECCO FS P.zza Sassi/Stazione,"",45.855290,9.393590,300051,0,
L00058,L00058,Calolziocorte - semaforo,"",45.801200,9.431283,300067,0,
L00062,L00062,Cisano - bivio brivio,"",45.740633,9.471733,300485,0,
L00063,L00063,Brivio - capolinea,"",45.742450,9.445850,300063,0,
L00064,L00064,Garlate - scuole,"",45.807017,9.401200,300064,0,
L00065,L00065,Olginate - a.s.l.,"",45.798150,9.414433,300065,0,
L00066,L00066,Lecco - ist.parini,"",45.852120,9.400560,300051,0,
L00067,L00067,Calolziocorte - stazione f.s.,"",45.802090,9.426630,300067,0,
L00069,L00069,Calolziocorte - sala (chiesa),"",45.785950,9.444183,300069,0,
L00070,L00070,Calolziocorte - sala gerola prim,"",45.781990,9.441430,300069,0,
L00072,L00072,Mandello lario - chiesa,"",45.920533,9.318317,300164,0,
L00073,L00073,Garbagnate - Via Gemelli,"",45.772580,9.304340,300073,0,
L00076,L00076,Pescate - insirano (terzo ponte),"",45.834433,9.393700,300077,0,
L00077,L00077,Pescate - torrette inf.,"",45.823417,9.395050,300077,0,
L00078,L00078,Garlate - municipio,"",45.806833,9.402917,300078,0,
L00079,L00079,Olginate - chiesa,"",45.800900,9.413333,300079,0,
L00080,L00080,Olginate - ponte villa,"",45.785217,9.422500,300080,0,
