scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_31a13afdadbdd065,two_radial_out_and_back_feeders,,2,0,3,0,13,0,10,2,0,0,4,17.116409418,30.380957606,0,4,0,0.0,17.116409418,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31a5c3129b9193df,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,18.551334172,38.666629297,0,4,0,0.0,18.551334172,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31aabc9e82a60d90,two_radial_out_and_back_feeders,,2,0,3,0,6,0,3,2,0,0,4,9.993252359,17.769951955000003,0,4,0,0.0,9.993252359,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31ad3e44608842b3,two_radial_out_and_back_feeders,,2,0,3,0,7,0,3,3,0,0,4,6.849258282,14.232699374,0,4,0,0.0,6.849258282,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31b7c1bbf176f912,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,13.692798526,24.28219867,0,4,0,0.0,13.692798526,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31c3d04e67180e1b,two_radial_out_and_back_feeders,,2,0,3,0,9,0,4,4,0,0,4,19.120710396,31.702216639999996,0,4,0,0.0,19.120710396,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31d0ebba26b5ac47,two_radial_out_and_back_feeders,,2,0,3,0,12,0,9,2,0,0,4,13.789306825,26.601731384,0,4,0,0.0,13.789306825,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31df5a031fae2cab,two_radial_out_and_back_feeders,,2,0,3,0,10,0,7,2,0,0,4,16.220393987,27.27725812,0,4,0,0.0,16.220393987,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31e0e47d90fe639a,two_radial_out_and_back_feeders,,2,0,3,0,4,0,1,2,0,0,4,12.513930754,23.935591803999998,0,4,0,0.0,12.513930754,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31f5f6aeca9480c3,two_radial_out_and_back_feeders,,2,0,3,0,6,0,2,3,0,0,4,8.366083044,17.586939955,0,3,1,0.0,6.133495904,2.23258714,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31fb08e87b1d1b49,two_radial_out_and_back_feeders,,2,0,3,0,7,0,4,2,0,0,4,11.150869239,20.307207522,0,4,0,0.0,11.150869239,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_31fe8b6d750235cf,two_radial_out_and_back_feeders,,2,0,3,0,11,0,4,6,0,0,4,31.425463636,63.388839761,0,4,0,0.0,31.425463636,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3202ab4d9d5e1f64,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,17.534716524,34.39314611,0,4,0,0.0,17.534716524,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3203ed712ea16ea8,two_radial_out_and_back_feeders,,2,0,3,0,6,0,1,4,0,0,4,9.820994787,20.381054273,0,4,0,0.0,9.820994787,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_320db486638c91e3,two_radial_out_and_back_feeders,,2,0,3,0,11,0,4,6,0,0,4,17.071031064,34.141628342,0,4,0,0.0,17.071031064,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_320eed18145c8eaa,two_radial_out_and_back_feeders,,2,0,3,0,7,0,1,5,0,0,4,11.102091289,24.67646077,0,4,0,0.0,11.102091289,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3212863d4993a707,two_radial_out_and_back_feeders,,2,0,3,0,8,0,4,3,0,0,4,14.060363059,30.570621727,0,4,0,0.0,14.060363059,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3212a337237b161c,two_radial_out_and_back_feeders,,2,0,3,0,7,0,2,4,0,0,4,16.997942741,34.605101942000005,0,4,0,0.0,16.997942741,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_321658ef8563a064,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,30.629962009000003,65.696002999,0,4,0,0.0,30.629962009000003,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3217a812685bb3dc,two_radial_out_and_back_feeders,,2,0,3,0,11,0,6,4,0,0,4,23.478346492000004,39.942769344,0,4,0,0.0,23.478346492000004,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_321abcf2ec9d259e,two_radial_out_and_back_feeders,,2,0,3,0,6,0,3,2,0,0,4,9.728806963,18.404161932,0,4,0,0.0,9.728806963,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_321ef2f98009e5fc,two_radial_out_and_back_feeders,,2,0,3,0,6,0,1,4,0,0,4,7.696503249,16.266775233,0,4,0,0.0,7.696503249,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3232608bbad1581b,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,17.96382589,34.973593061,0,4,0,0.0,17.96382589,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_32337c5e2bd8c698,two_radial_out_and_back_feeders,,2,0,3,0,7,0,1,5,0,0,4,9.640616559,21.124874246,0,4,0,0.0,9.640616559,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3236898040ccd833,two_radial_out_and_back_feeders,,2,0,3,0,10,0,5,4,0,0,4,15.326484689,33.291761954,0,4,0,0.0,15.326484689,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_323bf64227849cc7,two_radial_out_and_back_feeders,,2,0,3,0,12,0,6,5,0,0,4,20.792393543000003,43.288008329,0,4,0,0.0,20.792393543000003,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_32423c17197fbf2c,two_radial_out_and_back_feeders,,2,0,3,0,11,0,4,6,0,0,4,17.983968624,39.087683983000005,0,4,0,0.0,17.983968624,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
