physical_cluster_id,threshold_min,population_reachable_building_model,population_total_posas_2025,population_located_building_pieces,population_residual_unlocated,population_unit_count,gtfs_records_used_as_sources,epistemic_status
EX_026,5,268.19984041479734,22914.0,22820.839937434386,93.16006256561045,51,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,8,433.04584347612473,22914.0,22820.839937434386,93.16006256561045,87,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,10,556.853353479652,22914.0,22820.839937434386,93.16006256561045,125,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_026,12,1022.7938162422771,22914.0,22820.839937434386,93.16006256561045,196,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,5,535.113549629946,22914.0,22820.839937434386,93.16006256561045,64,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,8,1337.5802835232944,22914.0,22820.839937434386,93.16006256561045,171,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,10,1797.0050202820153,22914.0,22820.839937434386,93.16006256561045,250,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_027,12,2139.073848906182,22914.0,22820.839937434386,93.16006256561045,287,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,5,240.3955220489895,22914.0,22820.839937434386,93.16006256561045,61,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,8,375.836243863843,22914.0,22820.839937434386,93.16006256561045,95,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,10,520.4650732119528,22914.0,22820.839937434386,93.16006256561045,128,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_028,12,698.8228913941423,22914.0,22820.839937434386,93.16006256561045,170,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,5,640.3721026934744,22914.0,22820.839937434386,93.16006256561045,59,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,8,1255.0917879012823,22914.0,22820.839937434386,93.16006256561045,137,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,10,1733.4040132442951,22914.0,22820.839937434386,93.16006256561045,209,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,12,2560.2243057083397,22914.0,22820.839937434386,93.16006256561045,337,1,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,5,1032.2301321397417,22914.0,22820.839937434386,93.16006256561045,115,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,8,1663.518833807386,22914.0,22820.839937434386,93.16006256561045,208,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,10,1893.901679789599,22914.0,22820.839937434386,93.16006256561045,245,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,12,2244.1896246691467,22914.0,22820.839937434386,93.16006256561045,296,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,5,181.32545887676918,22914.0,22820.839937434386,93.16006256561045,48,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,8,494.6398222788671,22914.0,22820.839937434386,93.16006256561045,100,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,10,691.1875880892985,22914.0,22820.839937434386,93.16006256561045,138,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,12,853.9986591937056,22914.0,22820.839937434386,93.16006256561045,168,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,5,618.9050927508325,22914.0,22820.839937434386,93.16006256561045,117,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,8,1257.4398074222556,22914.0,22820.839937434386,93.16006256561045,282,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,10,1575.630283717689,22914.0,22820.839937434386,93.16006256561045,340,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,12,1979.4203372898148,22914.0,22820.839937434386,93.16006256561045,414,2,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
