population_unit_id,building_id,section_id,lat,lon,x_utm32,y_utm32,PRO_COM_T,COMUNE,building_piece_population_model,walk_min_to_nearest_existing_stop_v2,covered_5min,covered_8min,covered_10min,covered_12min,gap_5min,gap_8min,gap_10min,gap_12min,epistemic_status
20230101_000000::RLB-af1304bf-d5a6-4c7a-a9eb-f425de130ec8::SEC=970100000002,20230101_000000::RLB-af1304bf-d5a6-4c7a-a9eb-f425de130ec8,970100000002,45.7416575473259,9.44724482971348,534792.0117443439,5065441.780415605,097010,Brivio,4.251885209485292,3.5996875013639222,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-b15d3c8a-8940-49f7-b234-0f7c1dd14df3::SEC=970100000002,20230101_000000::RLB-b15d3c8a-8940-49f7-b234-0f7c1dd14df3,970100000002,45.74235392158086,9.447737098573645,534829.8732186693,5065519.363015605,097010,Brivio,6.484497041285616,3.3238891524636505,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-baec96c5-a1c3-4c05-bc8a-369f2d527f79::SEC=970100000002,20230101_000000::RLB-baec96c5-a1c3-4c05-bc8a-369f2d527f79,970100000002,45.7413842874207,9.448036222395709,534853.7456622839,5065411.765257802,097010,Brivio,5.709173559338295,3.2233518314665934,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-beb19a09-9207-4a91-95e5-65a9453c9c9c::SEC=970100000002,20230101_000000::RLB-beb19a09-9207-4a91-95e5-65a9453c9c9c,970100000002,45.74207195963934,9.44762790145269,534821.5539687065,5065487.989015603,097010,Brivio,2.588920809603708,2.814104005755924,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-c77f02a5-9542-48d5-9f43-cdfd18ad4f66::SEC=970100000002,20230101_000000::RLB-c77f02a5-9542-48d5-9f43-cdfd18ad4f66,970100000002,45.74343447233799,9.449105542359472,534935.6516675113,5065640.0108156055,097010,Brivio,10.534193741355384,5.826278580603407,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-c865f014-f631-44b3-9537-df695db9b0d8::SEC=970100000002,20230101_000000::RLB-c865f014-f631-44b3-9537-df695db9b0d8,970100000002,45.74245806249897,9.446343674248128,534721.4129793216,5065530.327515602,097010,Brivio,2.791776868903499,0.8585713680180733,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-c942a608-15c9-45ca-9abd-2e288b9ccebd::SEC=970100000002,20230101_000000::RLB-c942a608-15c9-45ca-9abd-2e288b9ccebd,970100000002,45.7434422727346,9.449786155300394,534988.5912420463,5065641.174915606,097010,Brivio,2.702770943588692,5.0859148685794775,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-cf91d91c-20f8-4daf-9c28-c82794e2862d::SEC=970100000002,20230101_000000::RLB-cf91d91c-20f8-4daf-9c28-c82794e2862d,970100000002,45.742821125877036,9.447708355488729,534827.3467662878,5065571.257715605,097010,Brivio,8.759398920372576,2.967953196123677,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-d09d311a-3439-4c53-b64c-6ba5a46af64b::SEC=970100000002,20230101_000000::RLB-d09d311a-3439-4c53-b64c-6ba5a46af64b,970100000002,45.74217295704379,9.448066051730121,534855.5753802938,5065499.400815602,097010,Brivio,14.543015357387612,3.0298243056923626,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-d3e52ec2-e3de-4a79-91d4-a7fcd44ab7bb::SEC=970100000002,20230101_000000::RLB-d3e52ec2-e3de-4a79-91d4-a7fcd44ab7bb,970100000002,45.7405565799568,9.44843995526362,534885.6684216956,5065319.981515601,097010,Brivio,7.036710178738963,4.14543833211515,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-d603865f-e22c-43cc-a8ba-0073b3955d11::SEC=970100000002,20230101_000000::RLB-d603865f-e22c-43cc-a8ba-0073b3955d11,970100000002,45.74269680669727,9.449108172553327,534936.3163796684,5065558.056015603,097010,Brivio,34.05910986713848,5.521826816500946,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-d6311b75-86db-4e58-a6bb-85dd1e9461aa::SEC=970100000002,20230101_000000::RLB-d6311b75-86db-4e58-a6bb-85dd1e9461aa,970100000002,45.7432979066986,9.45018019479465,535019.3335812867,5065625.308015605,097010,Brivio,3.0434301865438966,5.911784011959206,False,True,True,True,True,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-db037b8d-2553-487a-a257-e1df80dae049::SEC=970100000002,20230101_000000::RLB-db037b8d-2553-487a-a257-e1df80dae049,970100000002,45.74196274786759,9.448508341425466,534890.1125275115,5065476.239015604,097010,Brivio,1.0376713681741754,3.8134601495188227,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-00c1961e-1e7f-4c8c-b4ca-88a2c2360131::SEC=970100000003,20230101_000000::RLB-00c1961e-1e7f-4c8c-b4ca-88a2c2360131,970100000003,45.742329283054325,9.44031369547293,534252.4153336978,5065513.420357803,097010,Brivio,3.2025872513414275,1.558537914313594,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-01135144-361f-494e-8304-f8437d3c6dea::SEC=970100000003,20230101_000000::RLB-01135144-361f-494e-8304-f8437d3c6dea,970100000003,45.73741073517972,9.447901037736901,534845.7009916884,5064970.238015599,097010,Brivio,2.5164149181251525,8.735361460261698,False,False,True,True,True,True,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-011bd2ed-5021-4b62-95dd-de754ba65dac::SEC=970100000003,20230101_000000::RLB-011bd2ed-5021-4b62-95dd-de754ba65dac,970100000003,45.739442186124435,9.44418480937912,534555.3337560402,5065194.323715603,097010,Brivio,2.4908046620987,3.877411383735545,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-01c1cc6d-3621-4bc1-be80-f661ffb4f00f::SEC=970100000003,20230101_000000::RLB-01c1cc6d-3621-4bc1-be80-f661ffb4f00f,970100000003,45.74119874795132,9.443121769970897,534471.5537207245,5065389.022115603,097010,Brivio,7.041787162349535,4.4963234723832635,True,True,True,True,False,False,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
20230101_000000::RLB-03ae1fd3-4190-4814-ad5c-2bf7a9bd7365::SEC=970100000003,20230101_000000::RLB-03ae1fd3-4190-4814-ad5c-2bf7a9bd7365,970100000003,45.73549997248057,9.443752917909785,534524.1641566323,5064756.150815597,097010,Brivio,2.164828294879158,8.966708533647868,False,False,True,True,True,True,False,False,MODEL_OUTPUT_V2_BUILDING_POPULATION_GATE_B_WALK_GRAPH
