anchor_id,anchor_type,name,category,lat,lon,epistemic_status,source,x_utm32,y_utm32,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,current_walk_min,current_gap_10min
OSM_POINT_1144810140,SETTLEMENT,Vaccarezza Vecchia,hamlet,45.7375154,9.4373951,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,534028.2992991176,5064977.344252546,25308,21.90223789015547,0.27377797362694334,True,6.776933657889056,False
OSM_POINT_1144810197,SETTLEMENT,Paù,hamlet,45.7459833,9.3908657,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530403.8273227147,5065899.404928867,13800,0.0,0.0,True,22.42394765889966,True
OSM_POINT_1144810206,SETTLEMENT,Mondonico,hamlet,45.7419344,9.3962025,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530821.1827559558,5065451.607156964,15419,35.390166519046424,0.4423770814880803,True,10.908497558474458,True
OSM_POINT_1144810212,SETTLEMENT,Campsirago,hamlet,45.7551163,9.4010747,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531192.8549499152,5066918.029702085,16730,67.81321995935893,0.8476652494919866,True,43.390383394545715,True
OSM_POINT_1144810224,SETTLEMENT,Cagliano,hamlet,45.7511753,9.3880364,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530180.9495263525,5066475.174439253,12697,4.411957800187726,0.05514947250234657,True,34.479919756827165,True
OSM_POINT_1144810241,SETTLEMENT,Beverate,village,45.738267,9.4280345,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,533299.6204315831,5065056.909488323,23552,9.661488226445961,0.12076860283057451,True,2.497500402002017,False
OSM_POINT_1144810296,SETTLEMENT,Vaccarezza Nuova,hamlet,45.743033,9.4394422,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,534184.1914301935,5065591.231764948,25620,19.159648303793443,0.23949560379741802,True,1.597923199342749,False
OSM_POINT_1144810315,SETTLEMENT,Monastirolo,hamlet,45.7417582,9.4075899,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531707.1249495593,5065436.481351458,18631,5.5834082473912305,0.06979260309239038,True,23.567113518546844,True
OSM_POINT_1144810316,SETTLEMENT,Giovenzana,hamlet,45.7532378,9.375243,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529184.8213906778,5066699.574474784,8306,8.854986275966542,0.11068732844958178,True,30.656660580118746,True
OSM_POINT_1575801240,SETTLEMENT,Monte,village,45.726312,9.3791657,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529504.0906339656,5063709.510700794,9615,61.47664158741518,0.7684580198426898,True,19.479389656837718,True
OSM_POINT_1620729043,SETTLEMENT,Cassina Fra Martino,village,45.7182584,9.4335161,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,533738.1137571103,5062836.220734618,24529,22.81091773080267,0.2851364716350334,True,21.107818019975372,True
OSM_POINT_1620729044,SETTLEMENT,Grugana,hamlet,45.7231051,9.4366717,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,533980.7579715888,5063376.03067759,25083,32.48318702562141,0.40603983782026765,True,18.987032714467365,True
OSM_POINT_1620729057,SETTLEMENT,Madonna del Bosco,hamlet,45.7144099,9.4428936,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,534470.2775262821,5062412.643627028,26508,11.029819748140705,0.13787274685175882,True,9.208246677212466,False
OSM_POINT_1620729065,SETTLEMENT,Roncaglia,hamlet,45.7112187,9.4011544,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531223.5062851472,5062040.968014087,17023,39.82448715445599,0.4978060894306998,True,28.624886998527927,True
OSM_POINT_1620729074,SETTLEMENT,Scagnello,hamlet,45.7177172,9.4056402,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,531568.9952769642,5062764.718962173,18121,8.46172649356102,0.10577158116951275,True,13.561600678288979,True
OSM_POINT_2101402480,SETTLEMENT,Casternago,hamlet,45.730683,9.3898515,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530333.2204261286,5064199.130832197,13503,64.52690569426588,0.8065863211783235,True,1.1215117714134275,False
OSM_POINT_2101402495,SETTLEMENT,Cereda,hamlet,45.7303285,9.369536,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528752.7124217459,5064152.244368129,6454,59.05525365545998,0.7381906706932497,True,15.536520322549785,True
OSM_POINT_2101402496,SETTLEMENT,Crescenzaga,village,45.7333404,9.3723062,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528966.6979226569,5064487.870361859,7369,33.611702028700975,0.4201462753587622,True,13.945223438490823,True
OSM_POINT_2101402497,SETTLEMENT,Sara,village,45.7294421,9.3790469,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529493.1990747945,5064057.225664194,9684,25.00393635063088,0.312549204382886,True,14.796471767403625,True
