service_date,trip_id,trip_short_name,direction,arrival_time,departure_time,arrival_min,departure_min,origin_stop_id,origin_stop_name,terminal_stop_id,terminal_stop_name,station_stop_sequence,trip_stop_count,bus_to_rail_anchor_semantics,rail_to_bus_anchor_semantics,epistemic_status
2026-09-03,124832-2026-08-20-2026-09-14,S8 - 24832,LECCO,10:32:00,10:33:00,632.0,633.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124839-2026-08-20-2026-09-14,S8 - 24839,MILANO,10:55:00,10:56:00,655.0,656.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124834-2026-08-20-2026-09-14,S8 - 24834,LECCO,11:02:00,11:03:00,662.0,663.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124841-2026-08-20-2026-09-14,S8 - 24841,MILANO,11:25:00,11:26:00,685.0,686.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124836-2026-08-20-2026-09-14,S8 - 24836,LECCO,11:32:00,11:33:00,692.0,693.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124843-2026-08-20-2026-09-14,S8 - 24843,MILANO,11:55:00,11:56:00,715.0,716.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124838-2026-08-20-2026-09-14,S8 - 24838,LECCO,12:02:00,12:03:00,722.0,723.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124845-2026-08-20-2026-09-14,S8 - 24845,MILANO,12:25:00,12:26:00,745.0,746.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124840-2026-08-20-2026-09-14,S8 - 24840,LECCO,12:32:00,12:33:00,752.0,753.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124847-2026-08-20-2026-09-14,S8 - 24847,MILANO,12:55:00,12:56:00,775.0,776.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124842-2026-08-20-2026-09-14,S8 - 24842,LECCO,13:02:00,13:03:00,782.0,783.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124849-2026-08-20-2026-09-14,S8 - 24849,MILANO,13:25:00,13:26:00,805.0,806.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124844-2026-08-20-2026-09-14,S8 - 24844,LECCO,13:32:00,13:33:00,812.0,813.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124851-2026-08-20-2026-09-14,S8 - 24851,MILANO,13:55:00,13:56:00,835.0,836.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124846-2026-08-20-2026-09-14,S8 - 24846,LECCO,14:02:00,14:03:00,842.0,843.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124853-2026-08-20-2026-09-14,S8 - 24853,MILANO,14:25:00,14:26:00,865.0,866.0,S01520,Lecco,S01645,Milano Porta Garibaldi,5,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
2026-09-03,124848-2026-08-20-2026-09-14,S8 - 24848,LECCO,14:32:00,14:33:00,872.0,873.0,S01645,Milano Porta Garibaldi,S01520,Lecco,9,13,BUS_ARRIVAL_SCORED_CONTINUOUSLY_AGAINST_RAIL_DEPARTURE,BUS_DEPARTURE_SCORED_CONTINUOUSLY_AGAINST_RAIL_ARRIVAL,DERIVED_FROM_LIVE_OFFICIAL_GTFS
