route_id,source_page,direction_heading,direction_origin,direction_terminal,stop_sequence_on_page,stop_label_pdf,service_context,source_url,source_pdf_sha256,epistemic_status
D150,2,MERATE→VALGREGHENINO→GARLATE→LECCO,MERATE,LECCO,28,LECCO Ospedale Manzoni,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d150.pdf,ee2707bdb4a2174008b6819e04b2f2a564e4bef5c2d6f8830e6dc9589f47349b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,1,MONTEVECCHIA Parcheggio Alta Collina,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,2,MONTEVECCHIA Chiesa,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,3,MONTEVECCHIA Semaforo quattro strade,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,4,MONTEVECCHIA intersezione Pertevano,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,5,CERNUSCO Paravino,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,6,ARLATE,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,7,IMBERSAGO,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,8,MERATE SABBIONE,PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
D170,1,MONTEVECCHIA→ARLATE→MERATE→CARNATE→VIMERCATE,MONTEVECCHIA,VIMERCATE,9,MERATE (OSSERVATORIO),PUBLISHED_CURRENT_TIMETABLE,https://www.leccotrasporti.it/percorsi/estivo/linea-d170.pdf,87ab0fe1f2c68a38f8e54fd911f0ef38c9b29a22b3d875e34e4209a1a922f63b,RECONSTRUCTED_FROM_OFFICIAL_PRIMARY_TIMETABLE
