procom_lav,destination_name,workers,n_core_origins,rank,category,share_of_core_resident_workers_pct,cumulative_share_pct
016218,Trescore Balneario,1,1,332,OTHER_EXTERNAL,0.011423,99.885767
108045,Varedo,1,1,333,OTHER_EXTERNAL,0.011423,99.897190
012133,Varese,1,1,334,OTHER_EXTERNAL,0.011423,99.908613
103072,Verbania,1,1,335,OTHER_EXTERNAL,0.011423,99.920037
002158,Vercelli,1,1,336,OTHER_EXTERNAL,0.011423,99.931460
016232,Verdellino,1,1,337,OTHER_EXTERNAL,0.011423,99.942883
015237,Vignate,1,1,338,OTHER_EXTERNAL,0.011423,99.954307
016239,Villa d'Alm̬,1,1,339,OTHER_EXTERNAL,0.011423,99.965730
018182,Voghera,1,1,340,OTHER_EXTERNAL,0.011423,99.977153
016245,Zanica,1,1,341,OTHER_EXTERNAL,0.011423,99.988577
013246,Zelbio,1,1,342,OTHER_EXTERNAL,0.011423,100.000000
