stop_id,stop_code,stop_name,stop_lat,stop_lon,PRO_COM_T,COMUNE,graph_node_id,snap_distance_m,snap_ok,official_routes_reference_gtfs,official_route_count_reference_gtfs,physical_cluster_id,stop_type,epistemic_status,source
L00728,L00728,Olgiate Molgora - via statale,45.728633,9.400483,097058,Olgiate Molgora,16669,21.300414822651053,True,D148,1,EX_018,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00729,L00729,Calco - via virgilio (pensilina asf),45.72495,9.410183,097012,Calco,19416,9.579785189120676,True,D148|D185,2,EX_019,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00746,L00746,Merate - sartirana (cimitero),45.71986,9.4239,097012,Calco,22471,6.565308000560417,True,D170,1,EX_021,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00782,L00782,S.Maria Hoe',45.744333,9.373583,097074,Santa Maria Hoè,7735,11.538981972440808,True,D184,1,EX_022,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00803,L00803,Olgiate Molgora - monticello scarpone,45.7313,9.39015,097058,Olgiate Molgora,13556,10.639325244059156,True,D184,1,EX_023,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00804,L00804,Rovagnate - la pesa,45.737217,9.374867,097092,La Valletta Brianza,8143,3.698470259053375,True,D184,1,EX_024,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00871,L00871,S.Maria Hoe' - alduno,45.7347,9.382517,097074,Santa Maria Hoè,10976,8.586039249267715,True,D184,1,EX_041,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00872,L00872,Perego - s.s. 342/via s.caterina,45.738483,9.362667,097092,La Valletta Brianza,4463,20.859860174228903,True,D184,1,EX_027,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00873,L00873,Hoe',45.7486,9.368017,097074,Santa Maria Hoè,5719,13.516996109839804,True,D184,1,EX_028,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00878,L00878,Rovagnate - semaforo,45.737133,9.370467,097092,La Valletta Brianza,6441,38.80135657375168,True,D184,1,EX_042,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00879,L00879,Rovagnate - vinicola ghezzi,45.7398,9.36465,097092,La Valletta Brianza,5017,3.753171919362981,True,D160|D184,2,EX_030,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
L00886,L00886,Imbersago - arlate (fiorista),45.718283,9.444633,097012,Calco,26972,6.070094237006671,True,D150|D170,2,EX_031,EXISTING_OFFICIAL_STOP,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GateB artifact gtfs_core_stops.csv + official GTFS route assignment
