physical_cluster_id,threshold_min,population_reachable_2025,population_denominator_2025,cell_count,gtfs_records_used_as_sources,epistemic_status
EX_029,8,1204.6688948602368,22914.0,67,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,10,1801.9555283343775,22914.0,106,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_029,12,2570.2853493200464,22914.0,168,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,5,855.3004259875554,22914.0,52,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,8,1634.217706774074,22914.0,114,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,10,1936.2444809572573,22914.0,157,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_030,12,2410.9828118094374,22914.0,212,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,5,253.01694382602173,22914.0,15,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,8,659.9677044145832,22914.0,34,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,10,940.9016128484888,22914.0,53,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_031,12,1112.6000356165578,22914.0,70,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,5,627.7102030790088,22914.0,35,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,8,1165.4849052866825,22914.0,72,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,10,1448.6088903098657,22914.0,107,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_032,12,1712.0735906807213,22914.0,151,2,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_033,5,300.69339880276215,22914.0,35,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
