procom_res,origin_name,procom_lav,destination_name,workers,rank,category,share_of_origin_pct,cumulative_share_pct
097012,Calco,108024,Giussano,3,91,OTHER_EXTERNAL,0.138058,93.511275
097012,Calco,097056,Nibionno,3,92,OTHER_EXTERNAL,0.138058,93.649333
097012,Calco,015172,Pessano con Bornago,3,93,OTHER_EXTERNAL,0.138058,93.787391
097012,Calco,016171,Pontida,3,94,OTHER_EXTERNAL,0.138058,93.925449
097012,Calco,015182,Rho,3,95,OTHER_EXTERNAL,0.138058,94.063507
097012,Calco,015195,San Giuliano Milanese,3,96,OTHER_EXTERNAL,0.138058,94.201565
097012,Calco,016207,Stezzano,3,97,OTHER_EXTERNAL,0.138058,94.339623
097012,Calco,108002,Aicurzio,2,98,OTHER_EXTERNAL,0.092039,94.431661
097012,Calco,108003,Albiate,2,99,OTHER_EXTERNAL,0.092039,94.523700
097012,Calco,108009,Biassono,2,100,OTHER_EXTERNAL,0.092039,94.615739
097012,Calco,015032,Bresso,2,101,OTHER_EXTERNAL,0.092039,94.707777
097012,Calco,108051,Busnago,2,102,OTHER_EXTERNAL,0.092039,94.799816
097012,Calco,108014,Camparada,2,103,OTHER_EXTERNAL,0.092039,94.891855
097012,Calco,108052,Caponago,2,104,OTHER_EXTERNAL,0.092039,94.983893
097012,Calco,097021,Cesana Brianza,2,105,OTHER_EXTERNAL,0.092039,95.075932
097012,Calco,016076,Cividate al Piano,2,106,OTHER_EXTERNAL,0.092039,95.167971
097012,Calco,016126,Levate,2,107,OTHER_EXTERNAL,0.092039,95.260009
097012,Calco,015122,Liscate,2,108,OTHER_EXTERNAL,0.092039,95.352048
097012,Calco,016250,Medolago,2,109,OTHER_EXTERNAL,0.092039,95.444087
097012,Calco,015157,Novate Milanese,2,110,OTHER_EXTERNAL,0.092039,95.536125
097012,Calco,013170,Orsenigo,2,111,OTHER_EXTERNAL,0.092039,95.628164
097012,Calco,015166,Paderno Dugnano,2,112,OTHER_EXTERNAL,0.092039,95.720202
097012,Calco,015171,Peschiera Borromeo,2,113,OTHER_EXTERNAL,0.092039,95.812241
097012,Calco,015192,San Donato Milanese,2,114,OTHER_EXTERNAL,0.092039,95.904280
097012,Calco,108042,Sulbiate,2,115,OTHER_EXTERNAL,0.092039,95.996318
097012,Calco,016238,Villa d'Adda,2,116,OTHER_EXTERNAL,0.092039,96.088357
097012,Calco,108049,Villasanta,2,117,OTHER_EXTERNAL,0.092039,96.180396
097012,Calco,017002,Adro,1,118,OTHER_EXTERNAL,0.046019,96.226415
097012,Calco,016003,Albano Sant'Alessandro,1,119,OTHER_EXTERNAL,0.046019,96.272434
097012,Calco,013003,Albavilla,1,120,OTHER_EXTERNAL,0.046019,96.318454
097012,Calco,016005,Alm̬,1,121,OTHER_EXTERNAL,0.046019,96.364473
