stop_foundation_id,source_stop_id,physical_cluster_id,stop_class,human_label,municipality,lat,lon,road_name_or_context,evidence_status,road_eligibility_status,field_check_status,current_d184_d185_physical_stop,current_routes,human_identity_ready,finalist_stop_ready,readiness_reason,nearest_official_stop_walk_network_m,population_reachable_10min,population_additional_10min,settlement_context,destination_context,source_lineage
proposed:P2V2S_0038,P2V2S_0038,,PROPOSED_HYPOTHESIS,Limito,Calco,45.72344847960794,9.417522908234265,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,459.9153049584225,1295.4250063517275,20.413708856241318,Limito,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0044,P2V2S_0044,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0044,Calco,45.72438436770216,9.429145401654928,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,908.6867877267401,507.3008886042971,361.6418491276763,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0045,P2V2S_0045,,PROPOSED_HYPOTHESIS,Grugana,Calco,45.724458748394774,9.43438890605695,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,true,false,FIELD_CHECK_REQUIRED,1417.907628480515,49.30351633288784,49.30351633288784,Grugana,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0046,P2V2S_0046,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0046,Calco,45.72467945000848,9.42484905006014,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,980.6177714398058,555.2087829611994,362.14435799518196,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0048,P2V2S_0048,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0048,Calco,45.72523514009614,9.431750739186652,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,1408.56080521746,219.1646451039586,132.1973340455795,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0053,P2V2S_0053,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0053,Calco,45.72667059882819,9.419884776206654,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,519.1013148618596,1506.693379473411,286.0284611684874,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0054,P2V2S_0054,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0054,Calco,45.72685745000206,9.4097013499764,service,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,317.0222814554633,2203.6442625437635,11.854139605620375,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0055,P2V2S_0055,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0055,Calco,45.72688712865679,9.439264097729819,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,505.4184004722543,997.4579532547418,121.37190789659573,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0058,P2V2S_0058,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0058,Calco,45.727963009328015,9.435140743699606,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,764.5049641245942,395.54381915376905,96.12434052366132,,,stop_universe_v2/proposed_stop_candidates.csv
proposed:P2V2S_0060,P2V2S_0060,,PROPOSED_HYPOTHESIS,Candidate P2V2S_0060,Calco,45.728416614603994,9.444340218666824,unclassified,PROPOSED_STOP/FIELD_CHECK_PENDING,DERIVED_GATE_D_BUS_ELIGIBLE,PENDING,false,,false,false,HUMAN_IDENTITY_REQUIRED|FIELD_CHECK_REQUIRED,681.7882832808884,637.7121126593541,34.38933697944002,,,stop_universe_v2/proposed_stop_candidates.csv
