budget_suffix,equivalence_group_id,input_plan_count,survivor_plan_count,tie_break_invoked,reduced,exact_tie_after_supported_tiebreak,continuity_tie_break_applied
m10pct,ZB2_55042139f99ea34b,2,2,true,false,true,false
m10pct,ZB2_551d1f1420a75e03,2,2,true,false,true,false
m10pct,ZB2_554a6850e678e734,2,2,true,false,true,false
m10pct,ZB2_55733773520a9412,2,2,true,false,true,false
m10pct,ZB2_55d22cfdcc5b14b3,2,2,true,false,true,false
m10pct,ZB2_55dd476d4596a13a,2,2,true,false,true,false
m10pct,ZB2_56418ae81682410d,2,2,true,false,true,false
m10pct,ZB2_569192e44329f3e6,2,2,true,false,true,false
m10pct,ZB2_56b92e13cf0c1d9f,2,2,true,false,true,false
m10pct,ZB2_5707a5d934ddd823,2,2,true,false,true,false
m10pct,ZB2_571fe299744d0400,2,2,true,false,true,false
m10pct,ZB2_5724fd7cf0a15887,2,2,true,false,true,false
m10pct,ZB2_5728e41e312ec14e,2,2,true,false,true,false
m10pct,ZB2_574c64dfef40385f,2,2,true,false,true,false
m10pct,ZB2_57c394fd94b8ef5d,2,2,true,false,true,false
m10pct,ZB2_581e8ee49ac3232b,2,2,true,false,true,false
m10pct,ZB2_5825873f8b317796,2,2,true,false,true,false
m10pct,ZB2_585d1539e2c59b29,2,2,true,false,true,false
m10pct,ZB2_586ce2ee6d0b3f35,2,2,true,false,true,false
m10pct,ZB2_58a500141daf401a,2,2,true,false,true,false
m10pct,ZB2_58b91c859a841625,2,2,true,false,true,false
