pair_id,source_routing_terminal_id,target_routing_terminal_id,reverse_pair_id,scope
DIR_PAIR_551EEBDF411FC082,ASF::ARLATE_CANTINA_PIROVANO,ASF::CALCO_LARGO_POMEA,DIR_PAIR_152E1C9D8C5D83EF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_09C5933700EFB133,ASF::ARLATE_CANTINA_PIROVANO,ASF::CALCO_VIA_GARIBALDI,DIR_PAIR_BA58F979605596CF,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FF3DB56F68A95DC8,ASF::ARLATE_CANTINA_PIROVANO,ASF::IMBERSAGO_LOCALITA_CAZZULINO,DIR_PAIR_55CAFE689C9FE0EB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C879EBED162F04E7,ASF::ARLATE_CANTINA_PIROVANO,ASF::OLGIATE_MOLGORA_SCARPONE,DIR_PAIR_F574D0A30E21569C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_81CD467FD5DF0807,ASF::ARLATE_CANTINA_PIROVANO,ASF::OLGIATE_MOLGORA_VIA_DELLA_SALUTE,DIR_PAIR_5BF4E121495D3C9E,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_BE006CFE5FE5641D,ASF::ARLATE_CANTINA_PIROVANO,ASF::OLGIATE_MOLGORA_VIA_STATALE,DIR_PAIR_12EA432AB3A0CB93,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_39A73C5E0497685E,ASF::ARLATE_CANTINA_PIROVANO,ASF::PEREGO_VIA_STATALE_79,DIR_PAIR_0B62FF9891C0319F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_F4B01F08CAF941E3,ASF::ARLATE_CANTINA_PIROVANO,ASF::ROVAGNATE_FRAZIONE_ALDUNO,DIR_PAIR_C804C5A2EAD43EDE,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_66F323BE9061E603,ASF::ARLATE_CANTINA_PIROVANO,ASF::ROVAGNATE_SS_ANG_V_LOMBARDIA,DIR_PAIR_21496F70974547A4,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_CD9F078DF6590274,ASF::ARLATE_CANTINA_PIROVANO,ASF::ROVAGNATE_STRADA_STATALE_AGIP,DIR_PAIR_44ACC9626A416811,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_3788F06CA6232D2C,ASF::ARLATE_CANTINA_PIROVANO,ASF::SANTA_MARIA_HOE_VIA_COMO,DIR_PAIR_AA02105CFF1FAF7D,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_37179169C97CB5EB,ASF::ARLATE_CANTINA_PIROVANO,ASF::SANTA_MARIA_HOE_VIA_GIOVANNI_XXIII,DIR_PAIR_A1DB49E6AFD15E55,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_6B710BC745EAC07E,ASF::ARLATE_CANTINA_PIROVANO,ASF::S_MARIA_HOE_S_P_58_ANG_VIA_CENISIO,DIR_PAIR_BEC1D91CE7AADADD,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_89744727DDDE8944,ASF::ARLATE_CANTINA_PIROVANO,ASF::VACCAREZZA_CARTELLO_PAESE,DIR_PAIR_E065ADB3AE5FBCB5,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_895231BED23E200C,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::100005,DIR_PAIR_587209229CD8C312,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_A2352CEB22F692B0,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300063,DIR_PAIR_337DFE4C8FF6B9CB,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_2F4B25B2ECD2D3D1,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300086,DIR_PAIR_21C32AEA8296BA4C,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_FD33795AFA24F97C,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300398,DIR_PAIR_5516EEDF8A6BAFE6,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_C6F040ED0EC44E24,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300487,DIR_PAIR_69FB55199110CA08,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_1014DBA497549BF4,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300527,DIR_PAIR_CC1C5FA4F62B55A9,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_5FD12B2584C90A90,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300634,DIR_PAIR_A4FDECB798ADC358,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_5847E47B79685B82,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300743,DIR_PAIR_EFA171607FA08F60,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_53CA8BAE53F949AB,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300782,DIR_PAIR_4FE2C3C04B3F724F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_2B993D3BB1000F2D,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300805,DIR_PAIR_44DB3844A3B16419,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_0F6F49ADE3C53C40,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300873,DIR_PAIR_7A053C6DEF2C9EB7,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_49630BE1B1197946,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300879,DIR_PAIR_5D69C5CA41FA9EBE,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_ACCE89F69CE92843,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::300956,DIR_PAIR_FE0FF779EF54B1A4,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
DIR_PAIR_41F9A8EB05F9347C,ASF::ARLATE_CANTINA_PIROVANO,FROZEN::L00407,DIR_PAIR_25494A112883109F,COMPLETE_DIRECTED_PAIR_TEST_UNIVERSE_NOT_NETWORK_SELECTION
