stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
84954,LEC261_84954,"Lecco, Ai Poggi/Prealpi",,45.8646,9.424,,,0,,,,,
80326,LEC262_80326,"Lecco, Prealpi, fr. Funivia",,45.864441,9.426356,,,0,,,,,
80249,LEC001_80249,"Lecco, FS, Della Stazione",,45.85606253110125,9.392976052743926,,,0,,,,,
80321,LEC003_80321,"Lecco, Manzoni/Costituzione",,45.851924,9.391652,,,0,,,,,
80374,LEC040_80374,"Lecco, Da Vinci/Adda",,45.850254,9.388003,,,0,,,,,
84899,MAL101_84899,"Malgrate, Italia fr. 30",,45.8495,9.3823,,,0,,,,,
84902,MAL102_84902,"Malgrate, Italia/fr. Agudio",,45.852235,9.376025,,,0,,,,,
86714,VAL143_86714,"Valmadrera, Pare', Promessi Sposi/Parini",,45.857777,9.365914,,,0,,,,,
86726,MAN101_86726,"Mandello, Melgone, SP583 Motel",,45.884009,9.331641,,,0,,,,,
86730,VLB102_86730,"Valbrona, SP583, Lido",,45.89755,9.310916,,,0,,,,,
86729,OLI112_86729,"Oliveto L., Onno, Garibaldi/fr. Piana",,45.903268,9.301247,,,0,,,,,
86736,OLI113_86736,"Oliveto L., Onno, Garibaldi fr. 33",,45.908198,9.297263,,,0,,,,,
86708,OLI121_86708,"Oliveto L., Onno, Garibaldi fr. Istituti",,45.90986,9.29488,,,0,,,,,
86715,OLI114_86715,"Oliveto L., Onno, Garibaldi Imbarcadero",,45.912182,9.293827,,,0,,,,,
86711,OLI115_86711,"Oliveto L., Onno, Garibaldi/fr. Moro",,45.915785,9.292537,,,0,,,,,
86725,OLI116_86725,"Oliveto L., Onno, Garibaldi 52",,45.920938,9.288342,,,0,,,,,
86713,OLI101_86713,"Oliveto L., Vassena, Cadorna fr. 13",,45.926999,9.285452,,,0,,,,,
86738,OLI102_86738,"Oliveto L., Vassena, Cadorna/Rossini",,45.929059,9.28469,,,0,,,,,
86717,OLI103_86717,"Oliveto L., Vassena, Cadorna 66",,45.931033,9.283967,,,0,,,,,
86719,OLI104_86719,"Oliveto L., Vassena, Cadorna/fr. Sump.",,45.935569,9.282445,,,0,,,,,
86721,OLI126_86721,"Oliveto L., Limonta, Diaz 4",,45.952166,9.275972,,,0,,,,,
86706,OLI132_86706,"Oliveto L., Limonta, Diaz Imbarcadero",,45.955037,9.273602,,,0,,,,,
86703,OLI128_86703,"Oliveto L., Limonta, Diaz/fr. Vittoria",,45.956433,9.270377,,,0,,,,,
86705,OLI129_86705,"Oliveto L., Limonta, Diaz fr. Cimitero",,45.958536,9.269432,,,0,,,,,
86734,OLI110_86734,"Oliveto L., Limonta, Diaz 46",,45.960406,9.266196,,,0,,,,,
86701,BEL101_86701,"Bellagio, Visgnola, Lecco/fr. Industria",,45.969398,9.266251,,,0,,,,,
86699,BEL102_86699,"Bellagio, Visgnola, Lecco/fr. Nuova",,45.972621,9.262604,,,0,,,,,
80284,BEL001_80284,"Bellagio, Visgnola, Vitali/fr. Volta",,45.974292,9.261382,,,0,,,,,
82524,BEL002_82524,"Bellagio, Vitali, Istituti",,45.977439,9.260921,,,0,,,,,
86723,BEL003_86723,"Bellagio, Vitali/fr. Carcano",,45.97920729545871,9.254673452995283,,,0,,,,,
82523,BEL004_82523,"Bellagio, Europa, Lido",,45.984103,9.258377,,,0,,,,,
86697,BEL005_86697,"Bellagio, Lago Manzoni, fr. Imbarcadero",,45.985232,9.260072,,,0,,,,,
82534,BEL006_82534,"Bellagio, Valassina 84",,45.978042,9.262632,,,0,,,,,
84423,BEL007_84423,"Bellagio, Visgnola, Vitali/Volta",,45.974709,9.26141,,,0,,,,,
86698,BEL103_86698,"Bellagio, Visgnola, Lecco/fr. Del Doss",,45.97236,9.263005,,,0,,,,,
86700,BEL104_86700,"Bellagio, Visgnola, Lecco/Industria",,45.969353,9.266101,,,0,,,,,
86733,OLI111_86733,"Oliveto L., Limonta, Diaz 47",,45.959883,9.26629,,,0,,,,,
86704,OLI131_86704,"Oliveto L., Limonta, Diaz Cimitero",,45.958586,9.269252,,,0,,,,,
86702,OLI130_86702,"Oliveto L., Limonta, Diaz/Vittoria",,45.956452,9.270099,,,0,,,,,
86707,OLI127_86707,"Oliveto L., Limonta, Diaz fr. Imbarcad.",,45.955098,9.273267,,,0,,,,,
86722,OLI133_86722,"Oliveto L., Limonta, Diaz fr. 4",,45.952065,9.275886,,,0,,,,,
86720,OLI105_86720,"Oliveto L., Vassena, Cadorna/Sumpiazzo",,45.935527,9.282349,,,0,,,,,
86718,OLI106_86718,"Oliveto L., Vassena, Cadorna 33",,45.930639,9.28406,,,0,,,,,
86739,OLI107_86739,"Oliveto L., Vassena, Cadorna/Verdi",,45.928784494013904,9.284652279762273,,,0,,,,,
86712,OLI108_86712,"Oliveto L., Vassena, Cadorna/Oleandri",,45.92582,9.285143,,,0,,,,,
86724,OLI117_86724,"Oliveto L., Onno, Garibaldi fr. 52",,45.920866,9.288289,,,0,,,,,
86710,OLI122_86710,"Oliveto L., Onno, Garibaldi/Moro",,45.915894,9.29232,,,0,,,,,
86716,OLI118_86716,"Oliveto L., Onno, Garibaldi fr. Imbarc.",,45.912152,9.293632,,,0,,,,,
86709,OLI123_86709,"Oliveto L., Onno, Garibaldi Istituti",,45.909552,9.295317,,,0,,,,,
