route_id,runtime_archetype_id,roles,public_runtime_min,cycle_runtime_min,rail_to_bus_passenger_supported,bus_to_rail_passenger_supported,roundtrip_passenger_supported,passenger_support_class,support_evidence_status,passenger_demand_assigned_to_route,passenger_utility_calculated
R2_cbeae9722c3e899c80b4,RT2_51cbe7a03d5d455a2918,PUBLIC,14.443635806,14.443635806,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbeb885ebfe1963b97fa,RT2_50fc5ec842601bca98f9,EXTENSION,34.019246666,34.019246666,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbec3969d9e09b240465,RT2_a09367845b931c640c0c,EXTENSION,65.431578760,65.431578760,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbec6a425a9ad6834845,RT2_208896fedf85d579c9df,PUBLIC,8.052642337,8.052642337,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbec9123e61f63f900b5,RT2_b78f41e139a86c5341c4,PUBLIC,14.922885770,14.922885770,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbed1c689c59152248ae,RT2_78bdb6e2b039e11fe709,PUBLIC,17.032153383,23.297561134,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbed45fe27f02e35c3f9,RT2_115ccb15badbee6bf4bc,PUBLIC,34.136656677,34.136656677,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbeee51dd75e9eba1a9a,RT2_ec3a3e55303cee98f39b,EXTENSION,28.832670425,28.832670425,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf18e214cbe51a1a59b,RT2_4d752a07b249cbb00338,PUBLIC,29.298488305,36.687754426,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf1b0fd4e51d8c868ab,RT2_72365a1836b729a58561,PUBLIC,22.876908505,22.876908505,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf400bccdb2ba84ca35,RT2_68cb87766bd120afed9d,PUBLIC,11.468247742,13.513094087,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf569536bae9eb8c95a,RT2_3d39cb042cb2a33d03e0,PUBLIC,9.796734319,17.793280276,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf59e2c48914f0b7257,RT2_bb5c394957f239c432c3,EXTENSION,42.938128529,42.938128529,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf6d1ca04f3c3589e8f,RT2_042d2add4fefb1244bc1,PUBLIC,9.845962816,16.422430059,true,false,false,RAIL_TO_BUS_ONLY_PUBLIC_ROUTE_OPEN_AWAY_FROM_HUB,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf6dbb5b71e30669b88,RT2_09fdfc7216a398354887,EXTENSION,40.350062927,40.350062927,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf6e4ebb3aee883a0f3,RT2_02f91cc1b75fda4751ed,PUBLIC,23.420939304,23.420939304,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf79938386809c351fe,RT2_e009705f76c9215ac3d6,PUBLIC,38.803043916,38.803043916,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf80ac7a057e10ee368,RT2_11d98bb4e032fc9b040f,PUBLIC,21.692759369,21.692759369,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbf91a12e9171c65a76d,RT2_5da7f98827f267684234,PUBLIC,39.388242153,39.388242153,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbfdca3c98fda48db6d7,RT2_4e43e5bbf57823778d75,PUBLIC,34.462796211,34.462796211,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbfdd19da1e2bcc4df53,RT2_92cfe6bbe6659dd4a49d,EXTENSION,18.734751348,18.734751348,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbfe3132decab81b470a,RT2_2c67e347f5257aff4876,PUBLIC,26.669748530,26.669748530,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbff36855024aa76c780,RT2_887792b2f43ab493c639,PUBLIC,34.157916099,34.157916099,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cbffda66b8586848e7ea,RT2_2e454ee096b3419d1672,PUBLIC,48.284520058,48.284520058,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cc00955d26047a0c32ad,RT2_0f4daee0f415cda5274a,PUBLIC,38.901336497,38.901336497,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
R2_cc00d1e22cb390362da3,RT2_2f80ffaa21570a231f8a,PUBLIC,52.473771345,52.473771345,true,true,true,ROUNDTRIP_HUB_PASSENGER_SUPPORTED,DERIVED_FROM_S8_PHASE_OPPORTUNITY_V2_PUBLIC_SERVICE_GEOMETRY,false,false
