budget_suffix,annual_bus_km_cap,max_headway_min,scenario_id,topology_family,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,frequency_capability_frontier,service_policy_selected,topology_selected,s8_phase_selected
m10pct,100277.100000,30,P2_0704130aeb315af7,blank_slate,4509.018842115847,0.197583386697,Brivio,0E-12,12,733.000000000,true,false,false,false
m10pct,100277.100000,30,P2_0886d98058836122,single_compact_loop,3666.890134741184,0.160681646460,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m10pct,100277.100000,30,P2_0ffe721d74a786cf,single_compact_loop,5562.908131922139,0.243764390232,La Valletta Brianza,0.005660282930,2,90.000000000,true,false,false,false
m10pct,100277.100000,30,P2_10a63201e522d629,blank_slate,4278.547002464968,0.187484203657,Calco,0.000635187109,6,375.000000000,true,false,false,false
m10pct,100277.100000,30,P2_1240a7f3c4d31299,blank_slate,2972.594382399990,0.130257886675,Brivio,0E-12,9,956.000000000,true,false,false,false
m10pct,100277.100000,30,P2_252dbc1974de73a6,single_compact_loop,4068.295274033371,0.178271057734,Brivio,0E-12,9,745.000000000,true,false,false,false
m10pct,100277.100000,30,P2_2d576e441ba72ad4,blank_slate,5210.814946039765,0.228335808863,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m10pct,100277.100000,30,P2_35dc7dd1a817553f,single_compact_loop,3978.331038250024,0.174328861214,Calco,0.027312269272,2,90.000000000,true,false,false,false
m10pct,100277.100000,30,P2_363e0de9666c8b71,single_compact_loop,3254.164154718545,0.142596160511,Calco,0.022754516200,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_373a2b2dbf17f0d2,blank_slate,5562.908131922139,0.243764390232,La Valletta Brianza,0.005660282930,2,90.000000000,true,false,false,false
m10pct,100277.100000,30,P2_409affbfe1de6e1b,single_compact_loop,4178.804307098333,0.183113518983,La Valletta Brianza,0.009189912991,6,490.000000000,true,false,false,false
m10pct,100277.100000,30,P2_456a136da111f41c,single_compact_loop,7004.690852845653,0.306942727439,La Valletta Brianza,0E-12,2,221.000000000,true,false,false,false
m10pct,100277.100000,30,P2_5d984357c1aadfda,blank_slate,4178.804307098333,0.183113518983,La Valletta Brianza,0.009189912991,6,490.000000000,true,false,false,false
m10pct,100277.100000,30,P2_5dfbeaed19719910,single_compact_loop,2972.594382399990,0.130257886675,Brivio,0E-12,9,956.000000000,true,false,false,false
m10pct,100277.100000,30,P2_6988c2fa7dc684e2,single_compact_loop,5652.784416394300,0.247702732761,Brivio,0.000465712767,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_7395d536d1129cbb,blank_slate,5652.784416394300,0.247702732761,Brivio,0.000465712767,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_7d009cdb51335845,blank_slate,3978.331038250024,0.174328861214,Calco,0.027312269272,2,90.000000000,true,false,false,false
m10pct,100277.100000,30,P2_7e52b43e37276f9f,blank_slate,3254.164154718545,0.142596160511,Calco,0.022754516200,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_8010a78ef7774c36,blank_slate,7004.690852845653,0.306942727439,La Valletta Brianza,0E-12,2,221.000000000,true,false,false,false
m10pct,100277.100000,30,P2_9858dc3c94ecb6ac,single_compact_loop,3131.686018976129,0.137229218011,Brivio,0E-12,9,844.000000000,true,false,false,false
m10pct,100277.100000,30,P2_a91bdd346e9fa0b7,two_radial_out_and_back_feeders,3254.164154718545,0.142596160511,Calco,0.022754516200,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_ab03185e748e7f60,interlined_figure8,5756.099338014361,0.252229950948,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m10pct,100277.100000,30,P2_b6a4c8267a98ff82,two_independent_loops,5756.099338014361,0.252229950948,La Valletta Brianza,0E-12,6,490.000000000,true,false,false,false
m10pct,100277.100000,30,P2_bc1e37be7e7a349b,single_compact_loop,2884.350187120828,0.126391061636,Olgiate Molgora,0.036101820563,12,641.000000000,true,false,false,false
m10pct,100277.100000,30,P2_bcba0c69f31b1ef9,single_compact_loop,6240.623674048921,0.273461611893,Brivio,0E-12,6,447.000000000,true,false,false,false
m10pct,100277.100000,30,P2_cc8f147d7d76e109,single_compact_loop,4509.018842115847,0.197583386697,Brivio,0E-12,12,733.000000000,true,false,false,false
m10pct,100277.100000,30,P2_cda1b119504f1832,single_compact_loop,5210.814946039765,0.228335808863,La Valletta Brianza,0.009189912991,2,221.000000000,true,false,false,false
m10pct,100277.100000,30,P2_d00c17b73eb1a31e,blank_slate,4068.295274033371,0.178271057734,Brivio,0E-12,9,745.000000000,true,false,false,false
m10pct,100277.100000,30,P2_d1ab37ec7b82dffc,blank_slate,6240.623674048921,0.273461611893,Brivio,0E-12,6,447.000000000,true,false,false,false
m10pct,100277.100000,30,P2_d829af60b7c029c9,single_compact_loop,4278.547002464968,0.187484203657,Calco,0.000635187109,6,375.000000000,true,false,false,false
